Entity,Code,Year,other_renewables_consumption_equivalent_twh,biofuels_consumption_twh,solar_consumption_equivalent_twh,wind_consumption_equivalent_twh,hydro_consumption_equivalent_twh,nuclear_consumption_equivalent_twh,gas_consumption_twh,coal_consumption_twh,oil_consumption_twh
Austria,AUT,1965,0.0,0.0,0.0,0.0,44.675,0.0,17.528648,59.114902,65.29748
Austria,AUT,1966,0.0,0.0,0.0,0.0,48.141663,0.0,18.821033,56.467594,71.788864
Austria,AUT,1967,0.0,0.0,0.0,0.0,49.16111,0.0,18.031685,53.4509,76.54811
Austria,AUT,1968,0.0,0.0,0.0,0.0,50.513885,0.0,19.22897,52.77368,88.466064
Austria,AUT,1969,0.0,0.0,0.0,0.0,46.43889,0.0,23.329157,51.9364,97.226
Austria,AUT,1970,0.0,0.0,0.0,0.0,59.13805,0.0,28.298002,55.854168,107.04365
Austria,AUT,1971,0.0,0.0,0.0,0.0,46.7225,0.0,32.50665,51.233612,119.607025
Austria,AUT,1972,0.0,0.0,0.0,0.0,48.021107,0.0,35.129753,46.45389,129.12288
Austria,AUT,1973,0.0,0.0,0.0,0.0,53.358887,0.0,38.6112,46.16972,139.92781
Austria,AUT,1974,0.0,0.0,0.0,0.0,63.089443,0.0,41.851967,48.72278,125.22768
Austria,AUT,1975,0.0,0.0,0.0,0.0,66.09778,0.0,41.80162,42.340557,126.55926
Austria,AUT,1976,0.0,0.0,0.0,0.0,57.126663,0.0,47.61011,45.059998,137.41133
Austria,AUT,1977,0.0,0.0,0.0,0.0,69.22444,0.0,48.520336,37.800278,131.58655
Austria,AUT,1978,0.0,0.0,0.0,0.0,69.28,0.0,50.46824,38.40222,141.56969
Austria,AUT,1979,0.0,0.0,0.0,0.0,78.04666,0.0,50.040367,41.68611,147.40877
Austria,AUT,1980,0.0,0.0,0.0,0.0,80.86083,0.0,48.07398,42.83472,143.88745
Austria,AUT,1981,0.0,0.0,0.0,0.0,85.68694,0.0,45.824097,43.85,130.63089
Austria,AUT,1982,0.0,0.0,0.0,0.0,85.82305,0.0,44.355263,41.705555,123.90079
Austria,AUT,1983,0.0,0.0,0.0,0.0,85.017494,0.0,45.257057,44.655834,120.07978
Austria,AUT,1984,0.0,0.0,0.0,0.0,74.582115,0.0,50.389893,50.88639,116.79846
Austria,AUT,1985,2.947897,0.0,0.0,0.0,85.48651,0.0,53.991604,50.815,116.98592
Austria,AUT,1986,4.0234404,0.0,0.0,0.0,85.84424,0.0,52.42127,45.3025,123.2183
Austria,AUT,1987,2.8306751,0.0,0.0,0.0,98.29997,0.0,54.68578,44.93944,126.86035
Austria,AUT,1988,3.27175,0.0,0.0,0.0,98.06691,0.0,52.38503,43.033054,125.97797
Austria,AUT,1989,3.4514062,0.0,0.0,0.0,97.451195,0.0,56.25982,43.227222,124.222206
Austria,AUT,1990,3.5702658,0.0,0.0,0.0,87.525,0.0,61.934906,47.640278,127.430046
Austria,AUT,1991,3.830725,0.0,0.0,0.0,87.34277,0.0,65.66419,49.971664,136.87337
Austria,AUT,1992,4.1536374,0.0,0.0,0.0,96.80111,0.0,64.48223,38.881744,134.13881
Austria,AUT,1993,4.253472,0.0,0.0027777778,0.0,101.95987,0.0,67.812454,34.959057,136.78593
Austria,AUT,1994,3.7829843,0.0,0.0027777778,0.0,99.1875,0.0,69.75149,35.454445,134.74817
Austria,AUT,1995,5.803816,0.0,0.0027777778,0.0027777778,102.9645,0.0,76.15716,40.338642,135.62375
Austria,AUT,1996,4.9670124,0.0,0.0027777778,0.013888888,95.04475,0.0,81.060875,40.50991,147.85747
Austria,AUT,1997,5.3480906,0.0,0.0055555557,0.055555552,100.292435,0.0,78.12572,42.967976,147.18379
Austria,AUT,1998,5.758678,0.0,0.0055555557,0.125,103.231476,0.0,80.20729,37.829166,155.29774
Austria,AUT,1999,4.9903493,0.0,0.0055555557,0.14166667,113.05311,0.0,81.92763,37.68498,147.58986
Austria,AUT,2000,4.7758727,0.0,0.008333333,0.18611111,116.21014,0.0,78.205154,42.470078,145.70236
Austria,AUT,2001,5.2119126,0.0,0.0138121545,0.47513816,111.75548,0.0,82.881966,43.878994,155.1389
Austria,AUT,2002,4.7513876,0.0,0.024657533,0.5561643,110.21096,0.0,81.48537,44.579712,157.87592
Austria,AUT,2003,5.349753,0.0,0.040871933,0.9972752,90.50407,0.0,89.629715,47.54769,167.63007
