Entity,Code,Year,renewable_share_of_electricity__pct
Albania,ALB,2000,96.1945
Albania,ALB,2001,95.39295
Albania,ALB,2002,93.80054
Albania,ALB,2003,97.89674
Albania,ALB,2004,97.47747
Albania,ALB,2005,98.7013
Albania,ALB,2006,98.21428
Albania,ALB,2007,97.526505
Albania,ALB,2008,100.0
Albania,ALB,2009,100.0
Albania,ALB,2010,100.0
Albania,ALB,2011,98.56802
Albania,ALB,2012,100.0
Albania,ALB,2013,100.0
Albania,ALB,2014,100.0
Albania,ALB,2015,100.0
Albania,ALB,2016,100.0
Albania,ALB,2017,100.0
Albania,ALB,2018,100.0
Albania,ALB,2019,100.0
Albania,ALB,2020,100.0
Albania,ALB,2021,100.0
Albania,ALB,2022,100.0
Albania,ALB,2023,100.0
Austria,AUT,1985,72.51263
Austria,AUT,1986,73.2006
Austria,AUT,1987,73.04341
Austria,AUT,1988,75.497
Austria,AUT,1989,73.617905
Austria,AUT,1990,66.24721
Austria,AUT,1991,65.09171
Austria,AUT,1992,72.479454
Austria,AUT,1993,74.15708
Austria,AUT,1994,71.02984
Austria,AUT,1995,70.6812
Austria,AUT,1996,66.95978
Austria,AUT,1997,68.03382
Austria,AUT,1998,69.92117
Austria,AUT,1999,70.91426
Austria,AUT,2000,72.83702
Austria,AUT,2001,69.268616
Austria,AUT,2002,69.107704
Austria,AUT,2003,60.790066
Austria,AUT,2004,64.058205
Austria,AUT,2005,63.507843
Austria,AUT,2006,65.35927
Austria,AUT,2007,68.70921
Austria,AUT,2008,69.16744
Austria,AUT,2009,71.25812
Austria,AUT,2010,66.337364
Austria,AUT,2011,65.771706
Austria,AUT,2012,74.77058
Austria,AUT,2013,78.233925
Austria,AUT,2014,81.55971
Austria,AUT,2015,77.0314
Austria,AUT,2016,78.742096
Austria,AUT,2017,76.09182
Austria,AUT,2018,77.40839
Austria,AUT,2019,77.29523
Austria,AUT,2020,80.2723
Austria,AUT,2021,79.14983
Austria,AUT,2022,78.15842
Austria,AUT,2023,84.713196
Austria,AUT,2024,86.720146
Belarus,BLR,1985,0.06028636
Belarus,BLR,1986,0.05512375
Belarus,BLR,1987,0.053400263
Belarus,BLR,1988,0.052424636
Belarus,BLR,1989,0.0519629
Belarus,BLR,1990,0.0505996
Belarus,BLR,1991,0.0464696
Belarus,BLR,1992,0.04521878
Belarus,BLR,1993,0.056939073
Belarus,BLR,1994,0.060515337
Belarus,BLR,1995,0.080263264
Belarus,BLR,1996,0.06743088
Belarus,BLR,1997,0.08059255
Belarus,BLR,1998,0.119189516
Belarus,BLR,1999,0.07165485
Belarus,BLR,2000,0.11494252
Belarus,BLR,2001,0.11966494
Belarus,BLR,2002,0.11337869
Belarus,BLR,2003,0.1126549
Belarus,BLR,2004,0.09615384
Belarus,BLR,2005,0.12919897
Belarus,BLR,2006,0.12574662
Belarus,BLR,2007,0.15708451
Belarus,BLR,2008,0.1997147
Belarus,BLR,2009,0.36219952
Belarus,BLR,2010,0.4011461
Belarus,BLR,2011,0.4349177
Belarus,BLR,2012,0.6815969
Belarus,BLR,2013,0.95207876
Belarus,BLR,2014,0.8347725
Belarus,BLR,2015,0.99735993
Belarus,BLR,2016,1.2809056
Belarus,BLR,2017,2.2602146
Belarus,BLR,2018,2.0774558
Belarus,BLR,2019,2.5704398
Belarus,BLR,2020,3.502854
Belarus,BLR,2021,3.0787878
Belarus,BLR,2022,3.3889186
Belarus,BLR,2023,3.074805
Belarus,BLR,2024,3.1118956
Belgium,BEL,1985,0.59314054
Belgium,BEL,1986,0.78737473
Belgium,BEL,1987,0.9105686
Belgium,BEL,1988,0.8370442
Belgium,BEL,1989,0.7446667
Belgium,BEL,1990,0.7966994
Belgium,BEL,1991,0.7585335
Belgium,BEL,1992,0.8681042
Belgium,BEL,1993,0.7277397
Belgium,BEL,1994,0.85506034
Belgium,BEL,1995,0.9113167
Belgium,BEL,1996,0.7452755
Belgium,BEL,1997,0.7704161
Belgium,BEL,1998,0.92581314
Belgium,BEL,1999,1.0195514
Belgium,BEL,2000,1.2682691
Belgium,BEL,2001,1.3735217
Belgium,BEL,2002,1.4084506
Belgium,BEL,2003,1.435922
Belgium,BEL,2004,1.8091906
Belgium,BEL,2005,2.5005925
Belgium,BEL,2006,3.551716
Belgium,BEL,2007,4.020274
Belgium,BEL,2008,5.3214545
Belgium,BEL,2009,6.060606
Belgium,BEL,2010,7.051489
Belgium,BEL,2011,9.353647
Belgium,BEL,2012,12.894123
Belgium,BEL,2013,14.301404
Belgium,BEL,2014,17.148878
Belgium,BEL,2015,21.101854
Belgium,BEL,2016,16.90191
Belgium,BEL,2017,18.51418
Belgium,BEL,2018,23.229998
Belgium,BEL,2019,20.983925
Belgium,BEL,2020,26.5602
Belgium,BEL,2021,22.879566
Belgium,BEL,2022,25.898441
Belgium,BEL,2023,33.44282
Belgium,BEL,2024,35.860138
Bosnia and Herzegovina,BIH,2000,48.801533
Bosnia and Herzegovina,BIH,2001,48.730007
Bosnia and Herzegovina,BIH,2002,48.84152
Bosnia and Herzegovina,BIH,2003,39.929012
Bosnia and Herzegovina,BIH,2004,46.97565
Bosnia and Herzegovina,BIH,2005,47.619045
Bosnia and Herzegovina,BIH,2006,43.942814
Bosnia and Herzegovina,BIH,2007,33.870968
Bosnia and Herzegovina,BIH,2008,33.197
Bosnia and Herzegovina,BIH,2009,40.310078
Bosnia and Herzegovina,BIH,2010,47.430595
Bosnia and Herzegovina,BIH,2011,29.130722
Bosnia and Herzegovina,BIH,2012,30.050688
Bosnia and Herzegovina,BIH,2013,41.971012
Bosnia and Herzegovina,BIH,2014,34.879623
Bosnia and Herzegovina,BIH,2015,33.77967
Bosnia and Herzegovina,BIH,2016,31.677021
Bosnia and Herzegovina,BIH,2017,23.522167
Bosnia and Herzegovina,BIH,2018,34.347145
Bosnia and Herzegovina,BIH,2019,36.681973
Bosnia and Herzegovina,BIH,2020,29.184036
Bosnia and Herzegovina,BIH,2021,39.00054
Bosnia and Herzegovina,BIH,2022,32.048927
Bosnia and Herzegovina,BIH,2023,39.18198
Bosnia and Herzegovina,BIH,2024,36.52576
Bulgaria,BGR,1985,5.3732705
Bulgaria,BGR,1986,5.561932
Bulgaria,BGR,1987,5.835806
Bulgaria,BGR,1988,5.7661977
Bulgaria,BGR,1989,6.0702443
Bulgaria,BGR,1990,3.8902147
Bulgaria,BGR,1991,5.5787663
Bulgaria,BGR,1992,5.361174
Bulgaria,BGR,1993,4.730444
Bulgaria,BGR,1994,3.422854
Bulgaria,BGR,1995,5.210084
Bulgaria,BGR,1996,6.771322
Bulgaria,BGR,1997,6.387975
Bulgaria,BGR,1998,7.4118786
Bulgaria,BGR,1999,7.197469
Bulgaria,BGR,2000,6.479429
Bulgaria,BGR,2001,3.7983427
Bulgaria,BGR,2002,5.0380225
Bulgaria,BGR,2003,7.071902
Bulgaria,BGR,2004,7.5918765
Bulgaria,BGR,2005,9.797221
Bulgaria,BGR,2006,9.308979
Bulgaria,BGR,2007,6.7258296
Bulgaria,BGR,2008,6.5857496
Bulgaria,BGR,2009,8.697707
Bulgaria,BGR,2010,12.540823
Bulgaria,BGR,2011,7.786229
Bulgaria,BGR,2012,11.300043
Bulgaria,BGR,2013,16.062296
Bulgaria,BGR,2014,15.750214
Bulgaria,BGR,2015,17.963457
Bulgaria,BGR,2016,15.8095665
Bulgaria,BGR,2017,13.67083
Bulgaria,BGR,2018,20.167707
Bulgaria,BGR,2019,17.131746
Bulgaria,BGR,2020,18.609865
Bulgaria,BGR,2021,21.83397
Bulgaria,BGR,2022,19.152746
Bulgaria,BGR,2023,25.13089
Bulgaria,BGR,2024,31.079988
Croatia,HRV,1990,44.6084
Croatia,HRV,1991,64.56876
Croatia,HRV,1992,48.98877
Croatia,HRV,1993,47.903564
Croatia,HRV,1994,62.242565
Croatia,HRV,1995,61.58009
Croatia,HRV,1996,70.64632
Croatia,HRV,1997,57.29677
Croatia,HRV,1998,52.709793
Croatia,HRV,1999,56.635803
Croatia,HRV,2000,57.53791
Croatia,HRV,2001,56.313725
Croatia,HRV,2002,46.099293
Croatia,HRV,2003,41.48936
Croatia,HRV,2004,55.010815
Croatia,HRV,2005,54.099617
Croatia,HRV,2006,51.51046
Croatia,HRV,2007,37.79904
Croatia,HRV,2008,45.696404
Croatia,HRV,2009,56.02996
Croatia,HRV,2010,62.880325
Croatia,HRV,2011,47.016922
Croatia,HRV,2012,49.763485
Croatia,HRV,2013,66.57102
Croatia,HRV,2014,74.0134
Croatia,HRV,2015,66.903915
Croatia,HRV,2016,66.349205
Croatia,HRV,2017,60.492775
Croatia,HRV,2018,72.33727
Croatia,HRV,2019,66.00791
Croatia,HRV,2020,64.625854
Croatia,HRV,2021,69.68895
Croatia,HRV,2022,63.475174
Croatia,HRV,2023,69.76205
Croatia,HRV,2024,72.85156
Czechia,CZE,1985,2.8750367
Czechia,CZE,1986,3.0954032
Czechia,CZE,1987,3.9632773
Czechia,CZE,1988,3.2626605
Czechia,CZE,1989,2.5226085
Czechia,CZE,1990,1.8628552
Czechia,CZE,1991,1.8076286
Czechia,CZE,1992,2.370872
Czechia,CZE,1993,2.6078064
Czechia,CZE,1994,3.047945
Czechia,CZE,1995,3.9782107
Czechia,CZE,1996,3.5406547
Czechia,CZE,1997,3.4106839
Czechia,CZE,1998,3.079542
Czechia,CZE,1999,3.677731
Czechia,CZE,2000,3.1275718
Czechia,CZE,2001,3.4626784
Czechia,CZE,2002,3.9342105
Czechia,CZE,2003,2.2587268
Czechia,CZE,2004,3.2700799
Czechia,CZE,2005,3.8203347
Czechia,CZE,2006,4.207506
Czechia,CZE,2007,3.896548
Czechia,CZE,2008,4.466859
Czechia,CZE,2009,5.7079864
Czechia,CZE,2010,6.9349914
Czechia,CZE,2011,8.356417
Czechia,CZE,2012,9.320859
Czechia,CZE,2013,10.825282
Czechia,CZE,2014,10.790774
Czechia,CZE,2015,11.407443
Czechia,CZE,2016,11.45122
Czechia,CZE,2017,11.229011
Czechia,CZE,2018,10.859052
Czechia,CZE,2019,11.735885
Czechia,CZE,2020,12.908864
Czechia,CZE,2021,12.718144
Czechia,CZE,2022,12.862773
Czechia,CZE,2023,14.707822
Czechia,CZE,2024,17.104904
Denmark,DNK,1985,0.40181115
Denmark,DNK,1986,0.66659975
Denmark,DNK,1987,0.8959179
Denmark,DNK,1988,1.4410659
Denmark,DNK,1989,2.517276
Denmark,DNK,1990,3.1996915
Denmark,DNK,1991,2.908093
Denmark,DNK,1992,4.4444447
Denmark,DNK,1993,4.766134
Denmark,DNK,1994,4.309064
Denmark,DNK,1995,5.0847454
Denmark,DNK,1996,3.8965902
Denmark,DNK,1997,6.6379704
Denmark,DNK,1998,9.604106
Denmark,DNK,1999,11.311983
Denmark,DNK,2000,15.536961
Denmark,DNK,2001,15.583377
Denmark,DNK,2002,17.36573
Denmark,DNK,2003,17.554926
Denmark,DNK,2004,23.682901
Denmark,DNK,2005,27.161861
Denmark,DNK,2006,20.224472
Denmark,DNK,2007,26.31579
Denmark,DNK,2008,27.686405
Denmark,DNK,2009,27.77931
Denmark,DNK,2010,32.07742
Denmark,DNK,2011,40.35887
Denmark,DNK,2012,48.544327
Denmark,DNK,2013,46.11384
Denmark,DNK,2014,56.148563
Denmark,DNK,2015,65.77484
Denmark,DNK,2016,60.49342
Denmark,DNK,2017,70.55016
Denmark,DNK,2018,68.68587
Denmark,DNK,2019,78.54954
Denmark,DNK,2020,82.050385
Denmark,DNK,2021,79.28312
Denmark,DNK,2022,81.48042
Denmark,DNK,2023,87.00683
Denmark,DNK,2024,88.03949
Estonia,EST,1985,0.0
Estonia,EST,1986,0.0
Estonia,EST,1987,0.0
Estonia,EST,1988,0.0
Estonia,EST,1989,0.0
Estonia,EST,1990,0.0
Estonia,EST,1991,0.0
Estonia,EST,1992,0.0
Estonia,EST,1993,0.0
Estonia,EST,1994,0.0
Estonia,EST,1995,0.1150748
Estonia,EST,1996,0.0
Estonia,EST,1997,0.10845987
Estonia,EST,1998,0.11695906
Estonia,EST,1999,0.120918974
Estonia,EST,2000,0.11750881
Estonia,EST,2001,0.23557127
Estonia,EST,2002,0.3516999
Estonia,EST,2003,0.492126
Estonia,EST,2004,0.58195925
Estonia,EST,2005,1.0784314
Estonia,EST,2006,1.336074
Estonia,EST,2007,1.1494253
Estonia,EST,2008,1.8903592
Estonia,EST,2009,6.150342
Estonia,EST,2010,8.095605
Estonia,EST,2011,9.154383
Estonia,EST,2012,12.29097
Estonia,EST,2013,9.262049
Estonia,EST,2014,11.164659
Estonia,EST,2015,15.369458
Estonia,EST,2016,13.064914
Estonia,EST,2017,14.1337385
Estonia,EST,2018,16.087309
Estonia,EST,2019,28.120895
Estonia,EST,2020,48.848686
Estonia,EST,2021,39.91655
Estonia,EST,2022,31.991053
Estonia,EST,2023,49.74359
Estonia,EST,2024,56.672157
Finland,FIN,1985,24.97134
Finland,FIN,1986,25.31237
Finland,FIN,1987,26.022257
Finland,FIN,1988,24.981073
Finland,FIN,1989,24.420065
Finland,FIN,1990,29.4702
Finland,FIN,1991,31.400969
Finland,FIN,1992,34.76603
Finland,FIN,1993,31.837538
Finland,FIN,1994,27.842121
Finland,FIN,1995,30.546873
Finland,FIN,1996,25.62401
Finland,FIN,1997,29.156416
Finland,FIN,1998,34.802452
Finland,FIN,1999,30.524345
Finland,FIN,2000,33.414318
Finland,FIN,2001,28.93217
Finland,FIN,2002,26.468233
Finland,FIN,2003,22.615091
Finland,FIN,2004,29.857876
Finland,FIN,2005,33.2483
Finland,FIN,2006,27.293716
Finland,FIN,2007,29.96181
Finland,FIN,2008,35.901745
Finland,FIN,2009,30.113796
Finland,FIN,2010,29.985119
Finland,FIN,2011,32.89796
Finland,FIN,2012,40.562416
