Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh.1,Biofuels consumption - TWh.1,Solar consumption - TWh.1,Wind consumption - TWh.1,Hydro consumption - TWh.1,Nuclear consumption - TWh.1,Gas consumption - TWh.1,Coal consumption - TWh.1,Oil consumption - TWh.1
Europe,unknown,1965,9.090626,0.0,0.0,0.0,1059.5842,59.826576,1595.9036,9548.794,6933.2324,9.090626,0.0,0.0,0.0,1059.5842,59.826576,1595.9036,9548.794,6933.2324
Europe,unknown,1966,12.434375,0.0,0.0,0.0,1150.1521,77.3746,1786.6346,9420.777,7552.9653,12.434375,0.0,0.0,0.0,1150.1521,77.3746,1786.6346,9420.777,7552.9653
Europe,unknown,1967,13.4875,0.0,0.0,0.0,1140.6998,89.24415,2008.7863,9291.548,8203.042,13.4875,0.0,0.0,0.0,1140.6998,89.24415,2008.7863,9291.548,8203.042
Europe,unknown,1968,15.056251,0.0,0.0,0.0,1214.1719,102.625984,2280.0083,9340.795,8936.249,15.056251,0.0,0.0,0.0,1214.1719,102.625984,2280.0083,9340.795,8936.249
Europe,unknown,1969,16.390326,0.0,0.0,0.0,1229.7555,124.26596,2583.9653,9481.04,9826.869,16.390326,0.0,0.0,0.0,1229.7555,124.26596,2583.9653,9481.04,9826.869
Europe,unknown,1970,21.726116,0.0,0.0,0.0,1298.3951,135.97629,2980.2356,9329.971,10877.038,21.726116,0.0,0.0,0.0,1298.3951,135.97629,2980.2356,9329.971,10877.038
Europe,unknown,1971,22.093388,0.0,0.0,0.0,1314.0332,156.2618,3407.7761,9149.114,11434.074,22.093388,0.0,0.0,0.0,1314.0332,156.2618,3407.7761,9149.114,11434.074
Europe,unknown,1972,21.711275,0.0,0.0,0.0,1343.1327,214.85045,3805.59,9051.465,12275.271,21.711275,0.0,0.0,0.0,1343.1327,214.85045,3805.59,9051.465,12275.271
Europe,unknown,1973,23.332472,0.0,0.0,0.0,1358.4841,246.35559,4218.347,9181.223,13148.836,23.332472,0.0,0.0,0.0,1358.4841,246.35559,4218.347,9181.223,13148.836
Europe,unknown,1974,24.484562,0.0,0.0,0.0,1466.5707,302.3322,4606.6035,9144.451,12937.709,24.484562,0.0,0.0,0.0,1466.5707,302.3322,4606.6035,9144.451,12937.709
Europe,unknown,1975,25.940445,0.0,0.0,0.0,1465.5393,403.5378,4989.5654,9133.58,12798.231,25.940445,0.0,0.0,0.0,1465.5393,403.5378,4989.5654,9133.58,12798.231
Europe,unknown,1976,26.014366,0.0,0.0,0.0,1400.5414,484.0324,5461.0176,9361.901,13493.773,26.014366,0.0,0.0,0.0,1400.5414,484.0324,5461.0176,9361.901,13493.773
Europe,unknown,1977,27.06966,0.0,0.0,0.0,1651.9814,590.2025,5792.3145,9432.452,13559.638,27.06966,0.0,0.0,0.0,1651.9814,590.2025,5792.3145,9432.452,13559.638
Europe,unknown,1978,28.85981,0.0,0.0,0.008333333,1710.8191,650.0215,6109.8335,9490.763,14288.755,28.85981,0.0,0.0,0.008333333,1710.8191,650.0215,6109.8335,9490.763,14288.755
Europe,unknown,1979,30.056118,0.0,0.0,0.016666666,1780.2332,727.8873,6470.533,9756.863,14616.532,30.056118,0.0,0.0,0.016666666,1780.2332,727.8873,6470.533,9756.863,14616.532
Europe,unknown,1980,33.14047,0.0,0.0,0.029166665,1770.4344,862.29156,6579.6167,9750.397,14167.721,33.14047,0.0,0.0,0.029166665,1770.4344,862.29156,6579.6167,9750.397,14167.721
Europe,unknown,1981,33.26101,0.0,0.0,0.029166665,1790.4535,1130.0662,6774.2754,9612.252,13576.338,33.26101,0.0,0.0,0.029166665,1790.4535,1130.0662,6774.2754,9612.252,13576.338
Europe,unknown,1982,30.737877,0.0,0.0,0.051388886,1741.1665,1257.3972,7038.406,9695.899,13103.428,30.737877,0.0,0.0,0.051388886,1741.1665,1257.3972,7038.406,9695.899,13103.428
Europe,unknown,1983,31.677038,0.0,0.0,0.08361111,1803.1809,1464.3173,7458.5693,9772.314,12790.341,31.677038,0.0,0.0,0.08361111,1803.1809,1464.3173,7458.5693,9772.314,12790.341
Europe,unknown,1984,32.776493,0.0,0.0028058363,0.1061111,1874.3201,1867.3783,8014.5737,9714.767,12839.501,32.776493,0.0,0.0028058363,0.1061111,1874.3201,1867.3783,8014.5737,9714.767,12839.501
Europe,unknown,1985,36.00856,0.0,0.0028058363,0.15944444,1805.9951,2207.886,7673.371,9438.529,12087.632,36.00856,0.0,0.0028058363,0.15944444,1805.9951,2207.886,7673.371,9438.529,12087.632
Europe,unknown,1986,39.06003,0.0,0.0028058363,0.3711111,1772.3435,2344.6106,7815.6396,9425.001,12438.036,39.06003,0.0,0.0028058363,0.3711111,1772.3435,2344.6106,7815.6396,9425.001,12438.036
